ID_REF	control_13_VALUE
222076_at	6.8
222075_s_at	77.4
222074_at	2.6
222073_at	27.7
222072_at	9.7
222071_s_at	47.7
222070_at	145
222069_s_at	5.7
222068_s_at	8
222067_x_at	161.6
222066_at	19.4
222065_s_at	243.9
222064_s_at	34.2
222063_s_at	7.9
222062_at	104.7
222061_at	37.1
222060_at	59.1
222059_at	19.3
222058_at	53.5
222057_at	9.4
222056_s_at	68.9
222055_at	3.2
222054_at	5
222053_at	64.6
222052_at	62.3
222051_s_at	6.7
222050_at	85.7
222049_s_at	3
222048_at	64.8
222047_s_at	377.7
222046_at	69.9
222045_s_at	56.2
222044_at	12.4
222043_at	33.5
222042_x_at	12.3
222041_at	150.6
222040_at	101.4
222039_at	54.2
222038_s_at	50.3
222037_at	32.2
222036_s_at	11.7
222035_s_at	34.1
222034_at	86.5
222033_s_at	9.1
222032_s_at	83.8
222031_at	16.4
222030_at	182.2
222029_x_at	118.5
222028_at	47.4
222027_at	72.8
222026_at	57.7
222025_s_at	70.6
222024_s_at	488.2
222023_at	90.3
222022_at	60.5
222021_x_at	653.3
222020_s_at	5.4
222019_at	72.1
222018_at	99.2
222017_x_at	69.6
222016_s_at	17.5
222015_at	11.9
222014_x_at	11
222013_x_at	4.6
222012_at	41.3
222011_s_at	77
222010_at	40.6
222009_at	14.2
222008_at	8.7
222007_s_at	8.4
222006_at	18.4
222005_s_at	222.4
222004_s_at	9.8
222003_s_at	19.9
222002_at	12.9
222001_x_at	418
222000_at	92.3
221999_at	142.9
221998_s_at	81.9
221997_s_at	40.7
221996_s_at	15.9
221995_s_at	57
221994_at	4.7
221993_s_at	2.9
221992_at	64.2
221991_at	123.4
221990_at	73.9
221989_at	7.9
221988_at	95.9
221987_s_at	34.4
221986_s_at	34.2
221985_at	69.5
221984_s_at	607.6
221983_at	348.7
221982_x_at	19.4
221981_s_at	10.7
221980_at	138.6
221979_at	22.3
221978_at	358.2
221977_at	3.1
221976_s_at	3.8
221975_s_at	9
221974_at	13.2
221973_at	64.4
221972_s_at	6.3
221971_x_at	237.6
221970_s_at	157.1
221969_at	282.2
221968_s_at	7.2
221967_at	14.2
221966_at	42.9
221965_at	125.4
221964_at	26.8
221963_x_at	101
221962_s_at	20
221961_at	21.5
221960_s_at	86.2
221959_at	45.4
221958_s_at	104.6
221957_at	180
221956_at	106.5
221955_at	3.5
221954_at	173.1
221953_s_at	103.1
221952_x_at	790.3
221951_at	89.1
221950_at	55.6
221949_at	55.7
221948_s_at	7.5
221947_at	55.9
221946_at	5.7
221945_at	90.3
221944_at	13.2
221943_x_at	1193.9
221942_s_at	221.7
221941_at	76.3
221940_at	46.4
221939_at	18.6
221938_x_at	107.8
221937_at	185.2
221936_x_at	10.8
221935_s_at	20.2
221934_s_at	221.7
221933_at	6.6
221932_s_at	560.7
221931_s_at	123.7
221930_at	93
221929_at	104.6
221928_at	23.8
221927_s_at	32.8
221926_s_at	13.8
221925_s_at	69.4
221924_at	48.6
221923_s_at	247.3
221922_at	35
221921_s_at	45.4
221920_s_at	1383.6
221919_at	63.2
221918_at	76.8
221917_s_at	58
221916_at	16.2
221915_s_at	13.8
221914_at	18.8
221913_at	157.8
221912_s_at	125.5
221911_at	5.2
221910_at	47.7
221909_at	4.1
221908_at	22.4
221907_at	55.9
221906_at	99.7
221905_at	158.1
221904_at	92
221903_s_at	58.6
221902_at	91.1
221901_at	9
221900_at	11.5
221899_at	849.7
221898_at	7.1
221897_at	46.4
221896_s_at	92.6
221895_at	329.5
221894_at	10.3
221893_s_at	8.7
221892_at	18.8
221891_x_at	1108.9
221890_at	23.2
221889_at	15.1
221888_at	79.8
221887_s_at	20.6
221886_at	24.8
221885_at	45.4
221884_at	33.6
221883_at	8.7
221882_s_at	225.5
221881_s_at	11.5
221880_s_at	11.5
221879_at	54.4
221878_at	110.2
221877_at	41.6
221876_at	108.3
221875_x_at	3945.8
221874_at	18.7
221873_at	92.6
221872_at	14.4
221871_s_at	14
221870_at	22.4
221869_at	7.7
221868_at	77.4
221867_at	88.5
221866_at	66.7
221865_at	53.3
221864_at	154
221863_at	7.7
221862_at	128.4
221861_at	19.1
221860_at	228
221859_at	299.2
221858_at	11.7
221857_s_at	93.9
221856_s_at	277
221855_at	312.9
221854_at	5.8
221853_s_at	317.3
221852_at	3.7
221851_at	16
221850_x_at	305.6
221849_s_at	12.4
221848_at	9.6
221847_at	70.6
221846_s_at	15.5
221845_s_at	102.1
221844_x_at	369.2
221843_s_at	7.8
221842_s_at	176.2
221841_s_at	211
221840_at	492.7
221839_s_at	281.1
221838_at	31
221837_at	2.9
221836_s_at	118
221835_at	15.5
221834_at	221
221833_at	21.1
221832_s_at	79
221831_at	58.3
221830_at	82.7
221829_s_at	132.7
221828_s_at	15.1
221827_at	344.2
221826_at	39
221825_at	88.7
221824_s_at	742
221823_at	43.9
221822_at	33
221821_s_at	104.1
221820_s_at	213.7
221819_at	415
221818_at	149.3
221817_at	245.9
221816_s_at	338.8
221815_at	11.1
221814_at	57.2
221813_at	113.3
221812_at	23.4
221811_at	156.9
221810_at	16
221809_at	20.2
221808_at	64.9
221807_s_at	8.7
221806_s_at	537.1
221805_at	31.4
221804_s_at	614.4
221803_s_at	92.5
221802_s_at	37.8
221801_x_at	2.7
221800_s_at	94.6
221799_at	6.5
221798_x_at	14361.8
221797_at	7.8
221796_at	14.9
221795_at	51.8
221794_at	19.4
221793_at	10.8
221792_at	149.7
221791_s_at	596.8
221790_s_at	116.7
221789_x_at	83.6
221788_at	3.2
221787_at	63.9
221786_at	55.2
221785_at	33.6
221784_at	17.7
221783_at	10.2
221782_at	0.9
221781_s_at	3.7
221780_s_at	8.1
221779_at	35.3
221778_at	172.4
221777_at	18.8
221776_s_at	86.6
221775_x_at	1341.8
221774_x_at	154.3
221773_at	43.1
221772_s_at	4.1
221771_s_at	10.2
221770_at	6.2
221769_at	56.7
221768_at	122.7
221767_x_at	138.1
221766_s_at	304
221765_at	16.4
221764_at	3867.7
221763_at	60.1
221762_s_at	30.9
221761_at	112.5
221760_at	41.6
221759_at	6.8
221758_at	101.4
221757_at	222.3
221756_at	375.8
221755_at	53.9
221754_s_at	5.1
221753_at	148.3
221752_at	259.4
221751_at	33.9
221750_at	24.9
221749_at	67.6
221748_s_at	296.2
221747_at	20
221746_at	22.5
221745_at	100.1
221744_at	91.5
221743_at	578.1
221742_at	372.3
221741_s_at	105.4
221740_x_at	65.6
221739_at	171.4
221738_at	56.4
221737_at	64.1
221736_at	185.7
221735_at	96.2
221734_at	9.8
221733_s_at	108.5
221732_at	67.7
221731_x_at	1718.4
221730_at	28
221729_at	86.8
221728_x_at	40.7
221727_at	21.6
221726_at	619.2
221725_at	284.4
221724_s_at	41.9
221723_s_at	84.5
221722_x_at	3.8
221721_s_at	1.8
221720_s_at	8.2
221719_s_at	15.7
221718_s_at	398.6
221717_at	117
221716_s_at	12.3
221715_at	10.1
221714_s_at	6.4
221713_s_at	21.1
221712_s_at	140.9
221711_s_at	288.6
221710_x_at	3.7
221709_s_at	14.2
221708_s_at	46.6
221707_s_at	71.7
221706_s_at	50
221705_s_at	56.5
221704_s_at	45.7
221703_at	2
221702_s_at	222
221701_s_at	98.7
221700_s_at	9077.9
221699_s_at	8.6
221698_s_at	663.3
221697_at	12.6
221696_s_at	53.2
221695_s_at	32.3
221693_s_at	164.8
221692_s_at	5.5
221691_x_at	338.9
221690_s_at	20.9
221689_s_at	100.6
221688_s_at	351.8
221687_s_at	14.8
221686_s_at	77.8
221685_s_at	9.9
221684_s_at	69.9
221683_s_at	11.9
221682_s_at	6.2
221681_s_at	37.8
221680_s_at	134
221679_s_at	15.3
221678_at	6.6
221677_s_at	34
221676_s_at	261.8
221675_s_at	544.3
221674_s_at	182
221673_s_at	38.2
221672_s_at	6.4
221671_x_at	2134.5
221670_s_at	119.9
221669_s_at	54.3
221668_s_at	17.1
221667_s_at	63.8
221666_s_at	196.7
221665_s_at	14.8
221664_s_at	245.8
221663_x_at	32.2
221662_s_at	96.6
221661_at	42.7
221660_at	163.9
221659_s_at	65.2
221658_s_at	100.1
221657_s_at	12
221656_s_at	96.3
221655_x_at	51.4
221654_s_at	589.7
221653_x_at	176
221652_s_at	45.2
221651_x_at	2102
221650_s_at	29.6
221649_s_at	32.4
221648_s_at	50.1
221647_s_at	146
221646_s_at	5.6
221645_s_at	36.3
221644_s_at	50.8
221643_s_at	92.4
221642_at	72.4
221641_s_at	93.8
221640_s_at	13.9
221639_x_at	8
221638_s_at	9.7
221637_s_at	104.6
221636_s_at	4.8
221634_at	83.7
221633_at	100.1
221632_s_at	93.9
221631_at	137.2
221630_s_at	1.7
221629_x_at	206.4
221628_s_at	10.5
221627_at	92.7
221626_at	73.9
221625_at	47.4
221624_at	19.7
221623_at	16.1
221622_s_at	35.5
221621_at	53.7
221620_s_at	70
221619_s_at	699.1
221618_s_at	0.8
221617_at	106.4
221616_s_at	111.2
221615_at	103.1
221614_s_at	63
221613_s_at	159.4
221612_at	92.7
221611_s_at	47.4
221610_s_at	37.5
221609_s_at	7.1
221608_at	37
221607_x_at	8258.5
221606_s_at	4.1
221605_s_at	79.1
221604_s_at	70.8
221603_at	69.1
221602_s_at	342.2
221601_s_at	1058.6
221600_s_at	83
221599_at	14
221598_s_at	4
221597_s_at	89.6
221596_s_at	32.2
221595_at	3.4
221594_at	18.4
221593_s_at	30.4
221592_at	16.9
221591_s_at	28.4
221590_s_at	44.8
221589_s_at	72.9
221588_x_at	77.6
221587_s_at	139.9
221586_s_at	5.1
221585_at	5
221584_s_at	25.6
