ID_REF	pre_symp_4_VALUE
221664_s_at	306.3
221663_x_at	11.9
221662_s_at	24.7
221661_at	10.5
221660_at	47.8
221659_s_at	72.4
221658_s_at	21.6
221657_s_at	64.6
221656_s_at	176.9
221655_x_at	104.4
221654_s_at	930.9
221653_x_at	263.7
221652_s_at	23.9
221651_x_at	3473.3
221650_s_at	7.7
221649_s_at	48.5
221648_s_at	108.6
221647_s_at	190.3
221646_s_at	43
221645_s_at	28.3
221644_s_at	25
221643_s_at	76.8
221642_at	99.9
221641_s_at	111.4
221640_s_at	19.5
221639_x_at	47.9
221638_s_at	70.1
221637_s_at	119.8
221636_s_at	39.1
221634_at	32
221633_at	109.3
221632_s_at	120.9
221631_at	114.6
221630_s_at	2.5
221629_x_at	224.5
221628_s_at	5.8
221627_at	222.1
221626_at	48.4
221625_at	52.4
221624_at	18.6
221623_at	23.5
221622_s_at	151.2
221621_at	36.6
221620_s_at	94.9
221619_s_at	692.2
221618_s_at	13.8
221617_at	103
221616_s_at	88
221615_at	21.2
221614_s_at	95.8
221613_s_at	188.8
221612_at	111.9
221611_s_at	17.8
221610_s_at	104.7
221609_s_at	7.1
221608_at	5.7
221607_x_at	6777.4
221606_s_at	52.8
221605_s_at	79.6
221604_s_at	32.5
221603_at	15.8
221602_s_at	106.2
221601_s_at	555.4
221600_s_at	138.6
221599_at	26.9
221598_s_at	5.6
221597_s_at	215.4
221596_s_at	36.2
221595_at	37.8
221594_at	8.1
221593_s_at	38.6
221592_at	14
221591_s_at	108
221590_s_at	47.3
221589_s_at	31.8
221588_x_at	117.5
221587_s_at	81.7
221586_s_at	2.8
221585_at	18.4
221584_s_at	15.1
221583_s_at	18.6
221582_at	121.1
221581_s_at	454.3
221580_s_at	32.8
221579_s_at	172.1
221578_at	21.2
221577_x_at	31.9
221576_at	3.8
221575_at	112
221573_at	10.9
221572_s_at	10
221571_at	81.7
221570_s_at	73.8
221569_at	117.5
221568_s_at	2.6
221567_at	18.3
221566_s_at	6.9
221565_s_at	96.8
221564_at	93.1
221563_at	38.1
221562_s_at	26.7
221561_at	25.6
221560_at	11.6
221559_s_at	16.7
221558_s_at	371.2
221557_s_at	37.3
221556_at	105.8
221555_x_at	98.1
221554_at	162.2
221553_at	41.3
221552_at	42.8
221551_x_at	85.6
221550_at	3.4
221549_at	61.4
221548_s_at	26.7
221547_at	128.9
221546_at	41
221545_x_at	127.8
