ID_REF	symp_8_VALUE
222242_s_at	40
222241_at	17.3
222240_s_at	7.8
222239_s_at	40.3
222238_s_at	12
222237_s_at	4.1
222236_s_at	34.2
222235_s_at	171
222234_s_at	10.1
222233_s_at	51.4
222231_s_at	245.5
222230_s_at	200.6
222229_x_at	366.3
222228_s_at	81.1
222227_at	9
222226_at	15.2
222225_at	5.2
222224_at	18.2
222223_s_at	35.6
222222_s_at	6.7
222221_x_at	8.3
222220_s_at	33.9
222219_s_at	79.3
222218_s_at	616.4
222217_s_at	61
222216_s_at	79.1
222215_at	35
222214_at	8.7
222213_x_at	2.1
222212_s_at	365.2
222211_x_at	39.2
222210_at	6.9
222209_s_at	42.9
222208_s_at	32.4
222207_x_at	185.2
222206_s_at	5.2
222205_x_at	5.2
222204_s_at	57.6
222203_s_at	70.1
222202_at	2.3
222201_s_at	45.3
222200_s_at	112.3
222199_s_at	211.9
222198_at	21.1
222197_s_at	38.4
222196_at	6.5
222195_s_at	9.3
222194_at	5.6
222193_at	67.4
222192_s_at	65.4
222191_s_at	47.1
222190_s_at	3.3
222189_at	31.2
222188_at	24
222187_x_at	196.5
222186_at	2.2
222185_at	124.7
222184_at	75.6
222183_x_at	18.2
222182_s_at	209.6
222181_at	29.5
222180_at	22.5
222179_at	51.6
222178_s_at	8.7
222177_s_at	3.6
222176_at	9.6
222175_s_at	132.2
222174_at	7
222173_s_at	38.2
222172_at	6.6
222171_s_at	3.9
222170_at	16.8
222169_x_at	87.1
222168_at	3.7
222167_at	87.4
222166_at	26.7
222165_x_at	22.4
222164_at	30.3
222163_s_at	76
222162_s_at	34.5
222161_at	25.9
222160_at	131
222159_at	13.7
222158_s_at	29
222157_s_at	74.5
222156_x_at	76.4
222155_s_at	16.3
222154_s_at	45
222153_at	5.2
222152_at	44.6
222151_s_at	79
222150_s_at	140.4
222149_x_at	91.8
222148_s_at	244.7
222147_s_at	19.1
222146_s_at	42.8
222145_at	3.5
222144_at	50
222143_s_at	345.3
222142_at	19.5
222141_at	15.8
222140_s_at	16.3
222139_at	271.1
222138_s_at	23.6
222137_at	12.9
222136_x_at	115.2
222135_at	2.1
222134_at	11.3
222133_s_at	100.7
222132_s_at	68.4
222131_x_at	24.8
222130_s_at	132.8
222129_at	98.5
222128_at	9.5
222127_s_at	250.3
222126_at	80.4
222125_s_at	236
222124_at	8.9
222123_s_at	77.8
222122_s_at	154.2
222121_at	3.1
222120_at	15.2
222119_s_at	228.9
222118_at	4.3
222117_s_at	12
222116_s_at	7.6
222115_x_at	25.4
222114_x_at	7.9
222113_s_at	83.8
222112_at	3.9
222111_at	42
222110_at	42.7
222109_at	17.6
222108_at	82.3
222107_x_at	6.7
222106_at	38.7
222105_s_at	91.4
222104_x_at	111.7
222103_at	73.4
222102_at	4.6
222101_s_at	34.2
222100_at	7
222099_s_at	215
222098_s_at	23.7
222097_at	60
222096_x_at	38.2
222095_s_at	20.2
222094_at	46.2
222093_s_at	43.1
222092_at	3.5
222091_at	12.3
222090_at	13.5
222089_s_at	7.1
222088_s_at	272.7
222087_at	33.2
222086_s_at	3.8
222085_at	11.9
222084_s_at	5.6
222083_at	7.8
222082_at	79.1
222081_at	5.1
222080_s_at	24.4
222079_at	34.7
222078_at	18.7
222077_s_at	70.5
222076_at	17.3
222075_s_at	5.5
222074_at	17.6
222073_at	25
222072_at	12
222071_s_at	78.3
222070_at	146
222069_s_at	2.3
222068_s_at	5.9
222067_x_at	174.9
222066_at	15.1
222065_s_at	179
222064_s_at	33.4
222063_s_at	3.6
222062_at	94.5
222061_at	19.8
222060_at	14.6
222059_at	7.7
222058_at	49.3
222057_at	9.6
222056_s_at	69.2
222055_at	10.9
222054_at	7.8
222053_at	32.5
222052_at	61.6
222051_s_at	1.8
222050_at	12.6
222049_s_at	7.7
222048_at	55
222047_s_at	300.3
222046_at	75.3
222045_s_at	4.8
222044_at	15.4
222043_at	38.1
222042_x_at	10.3
222041_at	105.7
222040_at	63.8
222039_at	34.9
222038_s_at	50
222037_at	5.3
222036_s_at	31.6
222035_s_at	63.3
222034_at	27.5
222033_s_at	3.7
222032_s_at	13
222031_at	2.9
222030_at	150.5
222029_x_at	88.8
222028_at	74.2
222027_at	79.2
222026_at	64.4
222025_s_at	17
222024_s_at	99.2
222023_at	55.6
222022_at	63
222021_x_at	695.8
222020_s_at	2.8
222019_at	35.2
222018_at	31.2
222017_x_at	13.7
222016_s_at	21.2
222015_at	8.6
222014_x_at	57.6
222013_x_at	7.7
222012_at	16.2
222011_s_at	101.8
222010_at	94.5
222009_at	6.1
222008_at	6.4
222007_s_at	4.3
222006_at	60.9
222005_s_at	183.4
222004_s_at	5.3
222003_s_at	4.2
222002_at	4.9
222001_x_at	337.3
222000_at	165.8
221999_at	141.8
221998_s_at	30.5
221997_s_at	15.5
221996_s_at	6.7
221995_s_at	35.3
221994_at	3.6
221993_s_at	3.4
221992_at	41
221991_at	150.2
221990_at	22.6
221989_at	49.7
221988_at	85.8
221987_s_at	1.5
221986_s_at	3.8
221985_at	92
221984_s_at	389.4
221983_at	161.5
221982_x_at	28.5
221981_s_at	7.9
221980_at	95.8
221979_at	20.1
221978_at	310.1
221977_at	4.8
221976_s_at	2.5
221975_s_at	6.4
221974_at	3.8
221973_at	26.9
221972_s_at	51
221971_x_at	136.4
221970_s_at	120.1
221969_at	186.1
221968_s_at	5.7
221967_at	63.3
221966_at	29.9
221965_at	76
221964_at	56.6
221963_x_at	114.2
221962_s_at	13
221961_at	77
221960_s_at	147.6
221959_at	4.4
221958_s_at	131.2
221957_at	120
221956_at	42
221955_at	2.5
221954_at	226.7
221953_s_at	84.1
221952_x_at	1048.6
221951_at	122.7
221950_at	6.6
221949_at	3.8
221948_s_at	9.4
221947_at	9.9
221946_at	6.7
221945_at	37.5
221944_at	18.5
221943_x_at	721
221942_s_at	160.1
221941_at	20.7
221940_at	8
221939_at	15.8
221938_x_at	133.3
221937_at	210.9
221936_x_at	15.3
221935_s_at	4.9
221934_s_at	147.3
221933_at	3.4
221932_s_at	605.8
221931_s_at	71.2
221930_at	90.5
221929_at	134.7
221928_at	10.4
221927_s_at	129.4
221926_s_at	6.2
221925_s_at	31.7
221924_at	13.7
221923_s_at	301.7
221922_at	17.6
221921_s_at	16.1
221920_s_at	1186.1
221919_at	47.1
221918_at	172.6
221917_s_at	34.7
221916_at	72.6
221915_s_at	46.2
221914_at	10.1
221913_at	123.4
221912_s_at	108.5
221911_at	7.8
221910_at	6.7
221909_at	5
221908_at	69
221907_at	30.3
221906_at	9.5
221905_at	65
221904_at	78.2
221903_s_at	308.9
221902_at	11.8
221901_at	16.8
221900_at	23.3
221899_at	822.3
221898_at	51.8
221897_at	222.9
221896_s_at	118.4
221895_at	168.5
221894_at	18.6
221893_s_at	94.5
221892_at	34.3
221891_x_at	2846.2
221890_at	8.2
221889_at	14.9
221888_at	6.2
221887_s_at	17.5
221886_at	3.9
221885_at	14.9
221884_at	3.3
221883_at	21.8
221882_s_at	211.6
221881_s_at	7.5
221880_s_at	11.1
221879_at	69.7
221878_at	100.3
221877_at	41.7
221876_at	37.6
221875_x_at	4671.5
221874_at	85.9
221873_at	128.9
221872_at	5.7
221871_s_at	16.6
221870_at	17.1
221869_at	5.7
221868_at	68.5
221867_at	18.2
221866_at	37
221865_at	150.4
221864_at	224.9
221863_at	16.1
221862_at	92.9
221861_at	73.3
221860_at	112.8
221859_at	301.1
221858_at	46.9
221857_s_at	73.2
221856_s_at	299.4
221855_at	332.4
221854_at	5.5
221853_s_at	81.5
221852_at	4.5
221851_at	49.1
221850_x_at	346.8
221849_s_at	3.1
